XDR_FIELD_NAME,XDR_DR_TYPE,XDR_FIELD_TYPE,XDR_FIELD_INDEX
TRADEMARK,dr_gis,4,1
DR_TYPE,dr_gis,4,2
SERVICE_ID,dr_gis,4,3
COMPLT_ID,dr_gis,4,4
MSG_ID,dr_gis,4,5
REQ_ID,dr_gis,4,6
IP,dr_gis,4,7
VASP_ID,dr_gis,4,8
VASP_CATEGORY,dr_gis,4,9
VAS_ID,dr_gis,4,10
SVC_ID,dr_gis,4,11
SVC_CATEGORY,dr_gis,4,12
REQUESTOR,dr_gis,4,13
REQUESTOR_CATEGORY,dr_gis,4,14
REQUESTOR_AREA,dr_gis,4,15
USER_NUMBER,dr_gis,4,16
MSID_CATEGORY,dr_gis,4,17
MSID_AREA,dr_gis,4,18
LE,dr_gis,4,19
GIS,dr_gis,4,20
LBS,dr_gis,4,21
START_TIME,dr_gis,4,22
END_TIME,dr_gis,4,23
LE_VENDOR_RESID,dr_gis,4,24
LE_STANDARD_RESID,dr_gis,4,25
GIS_VENDOR_RESID,dr_gis,4,26
GIS_STANDARD_RESID,dr_gis,4,27
VENDOR_RESID,dr_gis,4,28
STANDARD_RESID,dr_gis,4,29
RESPONSED_RESID,dr_gis,4,30
X,dr_gis,4,31
Y,dr_gis,4,32
Z,dr_gis,4,33
A_ORDER_ID,dr_gis,4,34
A_CDR_TYPE,dr_gis,4,35
TRADEMARK,dr_lbmp,4,1
DR_TYPE,dr_lbmp,4,2
SERVICE_ID,dr_lbmp,4,3
COMPLT_ID,dr_lbmp,4,4
MSG_ID,dr_lbmp,4,5
REQ_ID,dr_lbmp,4,6
IP,dr_lbmp,4,7
VASP_ID,dr_lbmp,4,8
VASP_CATEGORY,dr_lbmp,4,9
VAS_ID,dr_lbmp,4,10
SVC_ID,dr_lbmp,4,11
SVC_CATEGORY,dr_lbmp,4,12
REQUESTOR,dr_lbmp,4,13
REQUESTOR_CATEGORY,dr_lbmp,4,14
REQUESTOR_AREA,dr_lbmp,4,15
USER_NUMBER,dr_lbmp,4,16
MSID_CATEGORY,dr_lbmp,4,17
MSID_AREA,dr_lbmp,4,18
LE,dr_lbmp,4,19
GIS,dr_lbmp,4,20
LBS,dr_lbmp,4,21
START_TIME,dr_lbmp,4,22
END_TIME,dr_lbmp,4,23
LE_VENDOR_RESID,dr_lbmp,4,24
LE_STANDARD_RESID,dr_lbmp,4,25
GIS_VENDOR_RESID,dr_lbmp,4,26
GIS_STANDARD_RESID,dr_lbmp,4,27
VENDOR_RESID,dr_lbmp,4,28
STANDARD_RESID,dr_lbmp,4,29
RESPONSED_RESID,dr_lbmp,4,30
X,dr_lbmp,4,31
Y,dr_lbmp,4,32
Z,dr_lbmp,4,33
A_ORDER_ID,dr_lbmp,4,34
A_CDR_TYPE,dr_lbmp,4,35
TRADEMARK,dr_wlwz,4,1
DR_TYPE,dr_wlwz,4,2
SERVICE_ID,dr_wlwz,4,3
COMPLT_ID,dr_wlwz,4,4
MSG_ID,dr_wlwz,4,5
REQ_ID,dr_wlwz,4,6
IP,dr_wlwz,4,7
VASP_ID,dr_wlwz,4,8
VASP_CATEGORY,dr_wlwz,4,9
VAS_ID,dr_wlwz,4,10
SVC_ID,dr_wlwz,4,11
SVC_CATEGORY,dr_wlwz,4,12
REQUESTOR,dr_wlwz,4,13
REQUESTOR_CATEGORY,dr_wlwz,4,14
REQUESTOR_AREA,dr_wlwz,4,15
USER_NUMBER,dr_wlwz,4,16
MSID_CATEGORY,dr_wlwz,4,17
MSID_AREA,dr_wlwz,4,18
LE,dr_wlwz,4,19
GIS,dr_wlwz,4,20
LBS,dr_wlwz,4,21
START_TIME,dr_wlwz,4,22
END_TIME,dr_wlwz,4,23
LE_VENDOR_RESID,dr_wlwz,4,24
LE_STANDARD_RESID,dr_wlwz,4,25
GIS_VENDOR_RESID,dr_wlwz,4,26
GIS_STANDARD_RESID,dr_wlwz,4,27
VENDOR_RESID,dr_wlwz,4,28
STANDARD_RESID,dr_wlwz,4,29
RESPONSED_RESID,dr_wlwz,4,30
X,dr_wlwz,4,31
Y,dr_wlwz,4,32
Z,dr_wlwz,4,33
A_ORDER_ID,dr_wlwz,4,34
A_CDR_TYPE,dr_wlwz,4,35
TRADEMARK,dr_wzjy,4,1
DR_TYPE,dr_wzjy,4,2
SERVICE_ID,dr_wzjy,4,3
SERIAL_ID,dr_wzjy,4,4
SUB_SERIAL_ID,dr_wzjy,4,5
REQUEST_SERIAL_ID,dr_wzjy,4,6
REQUEST_IP,dr_wzjy,4,7
REQUEST_SERVICE_FLAG,dr_wzjy,4,8
REQUEST_SERVICE_ID,dr_wzjy,4,9
USER_NUMBER,dr_wzjy,4,10
CITY,dr_wzjy,4,11
RESCUE_PHONE_NUM,dr_wzjy,4,12
REQUEST_TIME,dr_wzjy,4,13
RESPONSE_TIME,dr_wzjy,4,14
FINALLY_RESPONSE_TIME,dr_wzjy,4,15
RETURN_RESPONSE_STATUS,dr_wzjy,4,16
ACC,dr_wzjy,4,17
DIM,dr_wzjy,4,18
RETURN_LOCATION_TYPE,dr_wzjy,4,19
DEVIATION_STATUS,dr_wzjy,4,20
AREA_NUM,dr_wzjy,4,21
INTERFACE_ABILITY_TYPE,dr_wzjy,4,22
ACC_DIM_COUNTS,dr_wzjy,4,23
BOSS_STATUS,dr_wzjy,4,24
MESSAGE_SERIAL_ID,dr_wzjy,4,25
PRODUCT_TYPE,dr_wzjy,4,26
CLUSTER_CODE,dr_wzjy,4,27
PAY_CLUSTER_CODE,dr_wzjy,4,28
PRODUCT_ORDER_ID,dr_wzjy,4,29
CDR_TYPE,dr_wzjy,4,30
PRIMARY_SERIAL_ID,dr_wzjy,4,31
SL_PROVINCE_CODE,dr_wzjy,4,32
WARNING_TYPE,dr_wzjy,4,33
ACC_TYPE,dr_wzjy,4,34
APPEAR_TIME,dr_wzjy,4,35
BOSS_FLAG,dr_wzjy,4,36
START_TIME,dr_wzjy,4,37
TRADEMARK,dr_zfaq,4,1
DR_TYPE,dr_zfaq,4,2
SERVICE_ID,dr_zfaq,4,3
SDK_CODE,dr_zfaq,4,4
SERIAL_ID,dr_zfaq,4,5
SON_ID,dr_zfaq,4,6
REQUEST_ID,dr_zfaq,4,7
REQUEST_IP,dr_zfaq,4,8
VASP_ID,dr_zfaq,4,9
SERVER_ID,dr_zfaq,4,10
USER_NUMBER,dr_zfaq,4,11
SYNTYPE,dr_zfaq,4,12
ASYN_ID,dr_zfaq,4,13
ACTION_ID,dr_zfaq,4,14
SMS_TYPE,dr_zfaq,4,15
REQUEST_TIME,dr_zfaq,4,16
RES_REQUESTTIME,dr_zfaq,4,17
RES_RESPONSETIME,dr_zfaq,4,18
RES_RESPONSE_CODE,dr_zfaq,4,19
RESPONSE_TIME,dr_zfaq,4,20
RESPONSE_CONTENT,dr_zfaq,4,21
CDR_TYPE,dr_zfaq,4,22
PROVINCE_CODE,dr_zfaq,4,23
A_EC_ID,dr_zfaq,4,24
A_ORDER_ID,dr_zfaq,4,25
A_PAY_EC_ID,dr_zfaq,4,26
A_PROD_ORDER_MODE,dr_zfaq,4,27
START_TIME,dr_zfaq,4,28
USER_BILL_DAY,dr_ismg,1,78
USER_BILL_DAY,dr_kj,1,79
USER_BILL_DAY,dr_mms,1,92
USER_BILL_DAY,dr_pbx,1,106
USER_BILL_DAY,dr_sms,1,90
USER_BILL_DAY,dr_vc,1,32
USER_BILL_DAY,dr_wap,1,75
USER_BILL_DAY,dr_wlan,1,76
USER_GROUP_INFO,dr_addvalue,4,112
USER_GROUP_INFO,dr_cbs,4,101
USER_GROUP_INFO,dr_ext,4,56
USER_GROUP_INFO,dr_ggprs,4,139
USER_GROUP_INFO,dr_gprs,4,133
USER_GROUP_INFO,dr_gsm,4,108
USER_GROUP_INFO,dr_hu,4,21
USER_GROUP_INFO,dr_ip,4,80
USER_GROUP_INFO,dr_ismg,4,80
USER_GROUP_INFO,dr_kj,4,81
USER_GROUP_INFO,dr_mms,4,94
USER_GROUP_INFO,dr_pbx,4,108
USER_GROUP_INFO,dr_sms,4,92
USER_GROUP_INFO,dr_vc,4,34
USER_GROUP_INFO,dr_wap,4,77
USER_GROUP_INFO,dr_wlan,4,78
USER_ID,dr_addvalue,4,13
USER_ID,dr_cbs,4,12
USER_ID,dr_ext,4,11
USER_ID,dr_ggprs,4,12
USER_ID,dr_gprs,4,12
USER_ID,dr_gsm,4,13
USER_ID,dr_ip,4,12
USER_ID,dr_ismg,4,12
USER_ID,dr_kj,4,12
USER_ID,dr_mms,4,12
USER_ID,dr_pbx,4,13
USER_ID,dr_sms,4,12
USER_ID,dr_wap,4,12
USER_ID,dr_wlan,4,12
USER_MAC,dr_wlan,4,83
USER_NUMBER,dr_addvalue,4,15
USER_NUMBER,dr_cbs,4,14
USER_NUMBER,dr_domestic,4,1
USER_NUMBER,dr_ext,4,13
USER_NUMBER,dr_ggprs,4,15
USER_NUMBER,dr_gprs,4,15
USER_NUMBER,dr_gsm,4,15
USER_NUMBER,dr_hu,4,2
USER_NUMBER,dr_in_gprs,4,3
USER_NUMBER,dr_in_gprs_old,4,3
USER_NUMBER,dr_ip,4,39
USER_NUMBER,dr_ismg,4,15
USER_NUMBER,dr_kj,4,38
USER_NUMBER,dr_mms,4,14
USER_NUMBER,dr_pbx,4,15
USER_NUMBER,dr_scp,4,4
USER_NUMBER,dr_scp_old,4,4
USER_NUMBER,dr_sms,4,38
USER_NUMBER,dr_vc,4,4
USER_NUMBER,dr_wap,4,21
USER_NUMBER,dr_wlan,4,21
USER_PROPERTY,dr_addvalue,4,103
USER_PROPERTY,dr_cbs,4,78
USER_PROPERTY,dr_ext,4,50
USER_PROPERTY,dr_ggprs,4,126
USER_PROPERTY,dr_gprs,4,123
USER_PROPERTY,dr_gsm,4,97
USER_PROPERTY,dr_ip,4,72
USER_PROPERTY,dr_ismg,4,71
USER_PROPERTY,dr_kj,4,73
USER_PROPERTY,dr_mms,4,85
USER_PROPERTY,dr_pbx,4,97
USER_PROPERTY,dr_sms,4,84
USER_PROPERTY,dr_wap,4,69
USER_PROPERTY,dr_wlan,4,69
USER_PROP_INFO,dr_addvalue,4,109
USER_PROP_INFO,dr_cbs,4,98
USER_PROP_INFO,dr_ext,4,53
USER_PROP_INFO,dr_ggprs,4,136
USER_PROP_INFO,dr_gprs,4,130
USER_PROP_INFO,dr_gsm,4,105
USER_PROP_INFO,dr_hu,4,18
USER_PROP_INFO,dr_ip,4,77
USER_PROP_INFO,dr_ismg,4,77
USER_PROP_INFO,dr_kj,4,78
USER_PROP_INFO,dr_mms,4,91
USER_PROP_INFO,dr_pbx,4,105
USER_PROP_INFO,dr_sms,4,89
USER_PROP_INFO,dr_vc,4,31
USER_PROP_INFO,dr_wap,4,74
USER_PROP_INFO,dr_wlan,4,75
USER_STATUS,dr_wlan,4,79
USER_TYPE,dr_addvalue,4,94
USER_TYPE,dr_cbs,4,82
USER_TYPE,dr_ext,4,34
USER_TYPE,dr_ggprs,4,70
USER_TYPE,dr_gprs,4,115
USER_TYPE,dr_gsm,4,85
USER_TYPE,dr_ismg,4,63
USER_TYPE,dr_mms,4,71
USER_TYPE,dr_pbx,4,85
USER_TYPE,dr_sms,4,48
USER_TYPE,dr_vc,4,7
USER_TYPE,dr_wap,4,47
VALID_RATE_CONDITION,dr_wlan,4,84
VALID_RATE_PROD_ID,dr_addvalue,4,5
VALID_RATE_PROD_ID,dr_cbs,4,5
VALID_RATE_PROD_ID,dr_ggprs,4,5
VALID_RATE_PROD_ID,dr_gprs,4,5
VALID_RATE_PROD_ID,dr_gsm,4,5
VALID_RATE_PROD_ID,dr_ip,4,5
VALID_RATE_PROD_ID,dr_ismg,4,5
VALID_RATE_PROD_ID,dr_kj,4,5
VALID_RATE_PROD_ID,dr_mms,4,5
VALID_RATE_PROD_ID,dr_pbx,4,5
VALID_RATE_PROD_ID,dr_sms,4,5
VALID_RATE_PROD_ID,dr_wap,4,5
VALID_RATE_PROD_ID,dr_wlan,4,5
VALID_TIMES,dr_kj,4,48
VC_LOCATION,dr_vc,4,21
VC_NUMBER,dr_vc,4,6
VC_TYPE,dr_vc,4,12
VIDEO_CODE_TYPE,dr_cbs,4,91
VIDEO_TYPE,dr_addvalue,4,101
VIDEO_TYPE,dr_gsm,4,95
VIDEO_TYPE,dr_pbx,4,95
VIDEO_TYPE,dr_scp,4,27
VIDEO_TYPE,dr_scp_old,4,27
VOLUME,dr_cbs,4,21
VPLMN1,dr_addvalue,4,32
VPLMN1,dr_cbs,4,34
VPLMN1,dr_ext,4,17
VPLMN1,dr_ggprs,4,20
VPLMN1,dr_gprs,4,19
VPLMN1,dr_gsm,4,31
VPLMN1,dr_ip,4,18
VPLMN1,dr_ismg,4,19
VPLMN1,dr_kj,4,18
VPLMN1,dr_mms,4,19
VPLMN1,dr_pbx,4,31
VPLMN1,dr_sms,4,18
VPLMN1,dr_vc,4,15
VPLMN1,dr_wap,4,18
VPLMN1,dr_wlan,4,18
VPLMN2,dr_addvalue,4,33
VPLMN2,dr_cbs,4,35
VPLMN2,dr_ext,4,18
VPLMN2,dr_ggprs,4,21
VPLMN2,dr_gprs,4,20
VPLMN2,dr_gsm,4,32
VPLMN2,dr_ip,4,19
VPLMN2,dr_ismg,4,20
VPLMN2,dr_kj,4,19
VPLMN2,dr_mms,4,20
VPLMN2,dr_pbx,4,32
VPLMN2,dr_sms,4,19
VPLMN2,dr_vc,4,16
VPLMN2,dr_wap,4,19
VPLMN2,dr_wlan,4,19
VPLMN3,dr_addvalue,4,34
VPLMN3,dr_cbs,4,36
VPLMN3,dr_gsm,4,86
VPLMN3,dr_pbx,4,86
VQT,dr_in_gprs,2,59
VQT,dr_in_gprs_old,2,59
VT,dr_in_gprs,2,58
VT,dr_in_gprs_old,2,58
XDRCLONED_CDR_NO,dr_ggprs,4,133
XDR_SOCK_DR_TYPE,dr_in_gprs,4,1
XDR_SOCK_DR_TYPE,dr_in_gprs_old,4,1
XDR_SOCK_DR_TYPE,dr_scp,4,1
XDR_SOCK_DR_TYPE,dr_scp_old,4,1
ori_basic_charge,dr_gsm,4,51
ori_basic_charge,dr_pbx,4,51
ori_toll_charge,dr_gsm,4,52
ori_toll_charge,dr_pbx,4,52
sp_rela_TYPE,dr_gsm,4,27
sp_rela_TYPE,dr_pbx,4,27
ORIGINAL_FILE,dr_stat_log,4,1
DATE_TIME,dr_stat_log,4,2
PROC_INFO,dr_stat_log,4,3
Earlist,dr_stat_log,4,4
EndTime,dr_stat_log,4,5
ErrorStat,dr_stat_log,4,6
FileStat,dr_stat_log,4,7
FilterStat,dr_stat_log,4,8
Latest,dr_stat_log,4,9
NewTbcgCount,dr_stat_log,1,10
NoWriteCount,dr_stat_log,1,11
ReadFileName,dr_stat_log,4,12
ReadFileSize,dr_stat_log,1,13
ReadXdrCount,dr_stat_log,1,14
Speed,dr_stat_log,1,15
StartTime,dr_stat_log,4,16
SumFee,dr_stat_log,1,17
WriteFailXdrCount,dr_stat_log,1,18
WriteOkXdrCount,dr_stat_log,1,19
srcfilename,dr_stat_xfer_log,4,1
srcpath,dr_stat_xfer_log,4,2
srcfilesize,dr_stat_xfer_log,1,3
srchost,dr_stat_xfer_log,4,4
destfilename,dr_stat_xfer_log,4,5
destfilepath,dr_stat_xfer_log,4,6
destfilesize,dr_stat_xfer_log,1,7
midfilesize,dr_stat_xfer_log,1,8
desthost,dr_stat_xfer_log,4,9
datetime,dr_stat_xfer_log,4,10
ACCT_CYCLE_BEGIN,dr_ext,5,61
ACCT_CYCLE_END,dr_ext,5,62
ACC_DURATION,dr_hu,4,10
ACC_FEE,dr_hu,4,13
ACC_ID,dr_addvalue,4,12
ACC_ID,dr_cbs,4,11
ACC_ID,dr_ext,4,10
ACC_ID,dr_ggprs,4,11
ACC_ID,dr_gprs,4,11
ACC_ID,dr_gsm,4,12
ACC_ID,dr_ip,4,11
ACC_ID,dr_ismg,4,11
ACC_ID,dr_kj,4,11
ACC_ID,dr_mms,4,11
ACC_ID,dr_pbx,4,12
ACC_ID,dr_sms,4,11
ACC_ID,dr_wap,4,11
ACC_ID,dr_wlan,4,11
ACC_NUMBER,dr_hu,4,11
ACC_PROD_ID,dr_ext,1,57
ACC_VOLUME,dr_hu,4,12
AC_ADDRESS,dr_wlan,4,46
ADDRESS_HIDE,dr_mms,4,63
ADDUP_DIS_INFO,dr_ggprs,4,132
ADDUP_DIS_INFO,dr_in_gprs,2,49
ADDUP_DIS_INFO,dr_in_gprs_old,2,49
ADDUP_FLAG,dr_addvalue,4,116
ADDUP_INFO,dr_ggprs,4,131
ADDUP_INFO,dr_in_gprs,2,48
ADDUP_INFO,dr_in_gprs_old,2,48
ADDUP_MIDDLE_INFO,dr_in_gprs,4,14
ADDUP_MIDDLE_INFO,dr_in_gprs_old,4,14
ADDUP_MIDDLE_INFO,dr_scp,4,29
ADDUP_MIDDLE_INFO,dr_scp_old,4,29
ADDUP_RES,dr_addvalue,4,58
ADDUP_RES,dr_cbs,4,58
ADDUP_RES,dr_ggprs,4,110
ADDUP_RES,dr_gprs,4,60
ADDUP_RES,dr_gsm,4,57
ADDUP_RES,dr_pbx,4,57
ADDUP_RES,dr_scp,4,11
ADDUP_RES,dr_scp_old,4,11
ADDUP_RES_VAL,dr_addvalue,4,49
ADDUP_RES_VAL,dr_cbs,4,51
ADDUP_RES_VAL,dr_ggprs,4,41
ADDUP_RES_VAL,dr_gprs,4,39
ADDUP_RES_VAL,dr_gsm,4,48
ADDUP_RES_VAL,dr_ip,4,36
ADDUP_RES_VAL,dr_ismg,4,38
ADDUP_RES_VAL,dr_kj,4,35
ADDUP_RES_VAL,dr_mms,4,37
ADDUP_RES_VAL,dr_pbx,4,48
ADDUP_RES_VAL,dr_sms,4,36
ADDUP_RES_VAL,dr_wap,4,37
ADDUP_RES_VAL,dr_wlan,4,37
ALL_PROMOTION_PRODS,dr_addvalue,4,108
ALL_PROMOTION_PRODS,dr_cbs,4,97
ALL_PROMOTION_PRODS,dr_ext,4,52
ALL_PROMOTION_PRODS,dr_ggprs,4,135
ALL_PROMOTION_PRODS,dr_gprs,4,128
ALL_PROMOTION_PRODS,dr_gsm,4,104
ALL_PROMOTION_PRODS,dr_ip,4,76
ALL_PROMOTION_PRODS,dr_ismg,4,75
ALL_PROMOTION_PRODS,dr_kj,4,77
ALL_PROMOTION_PRODS,dr_mms,4,89
ALL_PROMOTION_PRODS,dr_pbx,4,104
ALL_PROMOTION_PRODS,dr_sms,4,88
ALL_PROMOTION_PRODS,dr_vc,4,30
ALL_PROMOTION_PRODS,dr_wap,4,73
ALL_PROMOTION_PRODS,dr_wlan,4,73
ANALYSE_FLAG,dr_gsm,4,109
APNNI_CODE,dr_cbs,4,30
APN_NI,dr_ggprs,4,52
APN_NI,dr_gprs,4,50
APN_NI,dr_in_gprs,4,18
APN_NI,dr_in_gprs_old,4,18
APN_OI,dr_ggprs,4,53
APN_OI,dr_gprs,4,51
APP_ID,dr_in_gprs,4,29
APP_ID,dr_in_gprs_old,4,29
APP_TYPE,dr_cbs,4,29
APP_TYPE,dr_in_gprs,1,22
APP_TYPE,dr_in_gprs_old,1,22
APP_TYPE,dr_kj,4,40
APP_TYPE,dr_mms,4,44
AP_MAC,dr_wlan,4,82
AS_ADDRESS,dr_wlan,4,47
AUDIO_CODE_TYPE,dr_cbs,4,92
AUTH_APPLICATION_ID,dr_in_gprs,4,33
AUTH_APPLICATION_ID,dr_in_gprs_old,4,33
AUTH_TYPE,dr_wlan,4,40
A_NUMBER,dr_addvalue,4,20
A_NUMBER,dr_gsm,4,19
A_NUMBER,dr_pbx,4,19
A_NUMBER,dr_scp,4,6
A_NUMBER,dr_scp_old,4,6
BACKUP_DATE,dr_addvalue,4,92
BACKUP_DATE,dr_cbs,5,80
BACKUP_DATE,dr_ext,4,44
BACKUP_DATE,dr_ggprs,4,120
BACKUP_DATE,dr_gprs,4,114
BACKUP_DATE,dr_gsm,4,83
BACKUP_DATE,dr_ip,4,65
BACKUP_DATE,dr_ismg,4,64
BACKUP_DATE,dr_kj,4,66
BACKUP_DATE,dr_mms,4,78
BACKUP_DATE,dr_pbx,4,83
BACKUP_DATE,dr_sms,4,76
BACKUP_DATE,dr_wap,4,62
BACKUP_DATE,dr_wlan,4,62
